Ts,Ts_e,Ts_ec,Q1,Q2,Q3,Q4,Q_1lf,Q_2lf,Q_3lf,Q_4lf
240,293,20,0.10466763237001447,0.21980202797703044,0.3140028971100434,0.4186705294800579,0.13429745671216747,0.28202465909555163,0.4028923701365023,0.5371898268486699
241,294,21,0.11911976994661976,0.2501515168879015,0.35735930983985925,0.476479079786479,0.14894120510972728,0.3127765307304272,0.4468236153291818,0.5957648204389092
242,295,22,0.13542721823958606,0.2843971583031308,0.40628165471875816,0.5417088729583442,0.16518170278594718,0.346881575850489,0.4955451083578415,0.6607268111437888
243,296,23,0.15380987598655824,0.32300073957177233,0.4614296279596747,0.615239503946233,0.18319305873189173,0.38470542333697244,0.549579176195675,0.7327722349275672
244,297,24,0.17451149337171118,0.3664741360805935,0.5235344801151335,0.6980459734868447,0.20316836672300856,0.4266535701183177,0.6095051001690254,0.8126734668920343
245,298,25,0.19780201245070636,0.4153842261464834,0.593406037352119,0.7912080498028254,0.22532177541347526,0.47317572836829774,0.6759653262404254,0.9012871016539011
246,299,26,0.22398011210426147,0.47035823541894917,0.6719403363127844,0.8959204484170459,0.24989078415291976,0.5247706467211312,0.7496723524587589,0.9995631366116793
247,300,27,0.25337597308076254,0.5320895434696014,0.7601279192422876,1.0135038923230502,0.27713878913820517,0.5819914571902307,0.8314163674146153,1.1085551565528209
248,301,28,0.2863542796823678,0.6013439873329725,0.8590628390471033,1.1454171187294713,0.30735790719672734,0.6454516051131273,0.922073721590182,1.2294316287869096
249,302,29,0.3233174756929498,0.6789666989551945,0.9699524270788491,1.293269902771799,0.34087210747407076,0.7158314256955481,1.0226163224222118,1.3634884298962833
250,303,30,0.36470929324159407,0.7658895158073478,1.0941278797247822,1.4588371729663763,0.3780406845998059,0.7938854376595917,1.134122053799417,1.5121627383992238
251,304,31,0.411018574444018,0.863139006332438,1.233055723332054,1.644074297776072,0.41926211056608975,0.8804504321887879,1.2577863316982685,1.6770484422643592
252,305,32,0.46278340686769165,0.9718451544221527,1.3883502206030751,1.8511336274707666,0.46497830661378065,0.9764544438889388,1.3949349198413412,1.859913226455123
253,306,33,0.5205955951265715,1.0932507497658002,1.5617867853797143,2.082382380506286,0.5156793809235425,1.0829266999394387,1.5470381427706268,2.0627175236941704
254,307,34,0.5851054922295951,1.2287215336821495,1.7553164766887848,2.3404219689183803,0.5719088829031552,1.2010086540966252,1.7157266487094647,2.2876355316126213
255,308,35,0.6570272156854103,1.379757152939362,1.9710816470562311,2.6281088627416413,0.6342696304005019,1.331966223841053,1.9028088912015044,2.537078521602008
256,309,36,0.7371442748057164,1.5480029770920047,2.211432824417149,2.9485770992228657,0.7034301723138525,1.4772033618590887,2.1102905169415553,2.8137206892554105
257,310,37,0.8263156371529075,1.735262838021106,2.4789469114587224,3.30526254861163,0.7801319558829448,1.6382771073541824,2.340395867648832,3.1205278235317797
258,311,38,0.9254822636460447,1.943512753656694,2.7764467909381336,3.7019290545841788,0.8651972754990166,1.8169142785479337,2.5955918264970483,3.460789101996067
259,312,39,1.035674143474234,2.1749157012958915,3.1070224304227017,4.142696573896936,0.9595380882503427,2.0150299853257163,2.878614264751024,3.8381523530013713
260,313,40,1.1580178616700296,2.4318375095070626,3.474053585010089,4.6320714466801185,1.064165790711818,2.2347481604948163,3.192497372135452,4.256663162847272
261,314,41,1.2937447339689732,2.716863941334844,3.8812342019069193,5.174978935875893,1.180202061792314,2.4784243297638557,3.540606185376937,4.7208082471692565
262,315,42,1.4441995454266934,3.032819045396056,4.33259863628008,5.7767981817067735,1.3088908878823624,2.748670864552959,3.926672663647085,5.2355635515294505
263,316,43,1.610849931183708,3.382784855485787,4.832549793551124,6.443399724734832,1.4516118992198135,3.0483849883616063,4.354835697659437,5.806447596879255
264,317,44,1.7952964397615208,3.770122523499194,5.385889319284563,7.181185759046083,1.6098951604481917,3.3807798369412003,4.829685481344573,6.439580641792768
265,318,45,1.9992833213439394,4.198494974822273,5.997849964031817,7.9971332853757575,1.785437573932458,3.749418905258159,5.35631272179737,7.141750295729833
266,319,46,2.2247100856457425,4.67189117985606,6.674130256937228,8.89884034258297,1.9801210716866477,4.158254250541954,5.940363215059934,7.920484286746592
267,320,47,2.4736438761988366,5.194652140017557,7.4209316285965095,9.894575504795347,2.196032790943045,4.611668860980392,6.588098372829131,8.784131163772182
268,321,48,2.7483327101951778,5.7714986914098745,8.244998130585534,10.993330840780711,2.4354874496584666,5.114523644282772,7.30646234897539,9.741949798633868
269,322,49,3.0512196354174055,6.407561234376551,9.153658906252215,12.204878541669622,2.7010521618380223,5.6722095398598436,8.103156485514063,10.804208647352091
270,323,50,3.3849578582641566,7.10841150235473,10.15487357479247,13.539831433056627,2.9955739587132544,6.290705313297824,8.98672187613975,11.98229583485302
271,324,51,3.7524268994382983,7.880096488820428,11.257280698314895,15.009707597753193,3.3222103108200223,6.9766416527220425,9.966630932460061,13.28884124328009
272,325,52,4.156749836514267,8.72917465667996,12.470249509542802,16.62699934605707,3.6844629781932827,7.737372254205883,11.053388934579832,14.737851912773134
273,326,53,4.601311695337506,9.66275456020876,13.803935086012515,18.405246781350023,4.086215551575399,8.581052658308325,12.25864665472618,16.3448622063016
274,327,54,5.0897790550341675,10.688536015571753,15.2693371651025,20.35911622013667,4.531775087104896,9.516727682920276,13.59532526131468,18.12710034841959
275,328,55,5.626120934325959,11.814853962084516,16.878362802977875,22.504483737303836,5.025918280837333,10.554428389758383,15.077754842511977,20.103673123349335
276,329,56,6.21463102985313,13.050725162691577,18.64389308955939,24.85852411941252,5.57394267811998,11.705279624051952,16.721828034359934,22.29577071247993
277,330,57,6.859951380309425,14.405897898649794,20.579854140928276,27.4398055212377,6.181723466819124,12.98161928032014,18.545170400457344,24.7268938672765
278,331,58,7.567097533388143,15.890904820115102,22.70129260016443,30.268390133552572,6.8557764632612335,14.397130572848567,20.56732938978367,27.423105853044937
279,332,59,8.3414852958282,17.51711912123922,25.0244558874846,33.3659411833128,7.603327966139499,15.966988728892924,22.809983898418462,30.413311864558
280,333,60,9.188959150234952,19.2968142154934,27.56687745070485,36.75583660093981,8.43239222726627,17.70802367725914,25.297176681798774,33.72956890906509
281,334,61,10.115822425833308,21.243227094249946,30.347467277499916,40.46328970333323,9.351857369709569,19.638900476390063,28.055572109128665,37.40742947883828
282,335,62,11.128869313890545,23.370625559170147,33.386607941671635,44.51547725556218,10.371580674413714,21.780319416268764,31.114742023241096,41.48632269765486
283,336,63,12.235418822224856,25.6943795266722,36.70625646667456,48.941675288899425,11.502494256840084,24.155237939364138,34.5074827705202,46.00997702736034
284,337,64,13.443350766992907,28.23103661068511,40.330052300978714,53.77340306797163,12.756722266552519,26.78911675976025,38.2701667996575,51.02688906621009
285,338,65,14.761143903826786,30.998402198036253,44.283431711480354,59.044575615307146,14.147710866204982,29.710192819030418,42.44313259861489,56.59084346481994
286,339,66,16.197916304367293,34.015624239171316,48.59374891310188,64.79166521746917,15.690372383393324,32.94978200512593,47.07111715017991,62.76148953357331
287,340,67,17.763468088318444,37.303282985468734,53.29040426495533,71.05387235327377,17.401245180775327,36.542614879628125,52.2037355423259,69.6049807231013
288,341,68,19.468326625325965,40.88348591318452,58.40497987597789,77.87330650130386,19.298670958373364,40.527209012584,57.89601287512001,77.19468383349347
289,342,69,21.323794325261886,44.779968083049965,63.97138297578565,85.29517730104754,21.402991388859306,44.94628191660448,64.20897416657783,85.61196555543724
290,343,70,23.34199913987888,49.018198193745654,70.02599741963664,93.36799655951552,23.736766193882833,49.84720900715387,71.21029858164839,94.94706477553135
291,344,71,25.535947903278256,53.62549059688435,76.60784370983475,102.14379161311302,26.325014999367717,55.28253149867212,78.97504499810304,105.30005999747088
292,345,72,27.919582643221815,58.631123550765814,83.75874792966543,111.67833057288726,29.195485562626008,61.31051968151447,87.58645668787781,116.78194225050406
293,346,73,30.50784000000001,64.06646400000002,91.52352000000002,122.03136000000003,32.37895124686446,67.99579761841525,97.13685374059322,129.51580498745784
294,347,74,33.31671389435745,69.96509917815065,99.95014168307233,133.2668555774298,35.909540932208685,75.41003595763806,107.7286227966258,143.63816372883477
295,348,75,36.363321590861595,76.36297534080936,109.08996477258478,145.45328636344638,39.8251049001114,83.63272029023382,119.47531470033402,159.30041960044562
296,349,76,39.665973308091495,83.29854394699214,118.99791992427448,158.66389323236598,44.16762061367088,92.7520032887087,132.50286184101245,176.67048245468354
297,350,77,43.244245532108984,90.81291561742887,129.73273659632693,172.97698212843594,48.98364274409502,102.86564976259929,146.95092823228472,195.93457097638012
298,351,78,47.11905819486273,98.95002220921175,141.3571745845882,188.47623277945092,54.32480226789633,114.08208476258191,162.97440680368845,217.29920907158535
299,352,79,51.31275588446687,107.75678735738045,153.9382676534006,205.25102353786747,60.248359985472796,126.52155596949268,180.74507995641812,240.9934399418912
300,353,80,55.84919325967466,117.28330584531679,167.54757977902395,223.39677303869863,66.81782039516457,140.31742282984538,200.4534611854934,267.2712815806583
301,354,81,60.75382484635814,127.58303217735211,182.2614745390744,243.01529938543257,74.10361250392523,155.61758625824274,222.31083751177536,296.414450015701
302,355,82,66.05379939937848,138.7129787386948,198.1613981981354,264.2151975975139,82.18384487335504,172.58607423404501,246.55153462006433,328.7353794934202
