Ts_ec,Q2
20,0.190495091
21,0.216797981
22,0.246477537
23,0.279933974
24,0.317610918
25,0.359999663
26,0.407643804
27,0.461144271
28,0.521164789
29,0.588437806
30,0.663770914
31,0.748053805
32,0.8422658
33,0.947483983
34,1.064891996
35,1.195789533
36,1.34160258
37,1.50389446
38,1.68437772
39,1.884926941
40,2.107592508
41,2.354615416
42,2.628443173
43,2.931746875
44,3.26743952
45,3.638695645
46,4.048972356
47,4.502031855
48,5.001965533
49,5.553219736
50,6.160623302
51,6.829416957
52,7.565284702
53,8.374387286
54,9.26339788
55,10.2395401
56,11.31062847
57,12.48511151
58,13.77211751
59,15.18150324
60,16.72390565
61,18.41079682
62,20.25454215